48,12,3,1,12,6,2,3,12,3,3,0,0,2,0,0|9.5040
48,12,3,1,12,6,2,3,12,6,0,3,2,0,0,0|9.5165
48,12,3,1,24,12,2,6,2,0,0,0,1,0,0,0|9.0198
48,24,3,1,24,0,2,6,3,0,0,0,2,0,0,0|8.6639
48,24,3,1,24,2,6,3,3,0,0,0,2,0,0,0|8.8989
48,24,3,1,24,2,6,3,1,3,0,0,0,2,0,0|9.1148
48,24,3,1,24,2,6,3,1,3,0,0,2,0,0,3|9.2615
48,24,3,1,24,2,6,3,3,3,0,3,0,0,0,3|9.2691
48,24,3,1,24,2,6,6,3,3,0,3,0,0,0,3|9.3075
48,24,3,1,24,2,6,6,3,3,0,6,0,0,0,3|9.3369
48,24,3,1,24,2,6,12,3,3,0,3,0,0,0,2|9.3772
48,24,3,1,24,2,6,12,6,0,3,2,0,0,2,0|9.4484
48,24,3,1,24,2,6,12,6,3,2,0,0,2,0,2|9.6405
48,24,3,1,24,2,6,12,1,6,3,2,0,0,2,2|9.9235
48,24,3,1,24,2,6,12,1,6,3,2,0,2,2,1|10.1275
48,24,3,1,24,2,6,12,1,6,3,2,2,2,1,1|10.3324
48,24,3,1,24,2,6,12,1,6,3,2,3,2,3,1|10.3783
48,24,3,1,24,2,6,12,1,6,6,3,3,2,1,0|10.2851
48,24,3,1,24,2,6,12,6,1,12,3,0,3,2,1|10.2130
48,24,3,1,24,3,6,12,6,3,12,3,0,2,2,1|10.2318
48,24,3,1,24,6,6,12,6,2,12,3,0,1,2,1|10.2916
48,24,3,1,24,6,6,12,6,3,12,3,0,2,2,1|10.3524
48,24,3,1,24,12,12,1,6,3,12,3,2,2,1,0|10.3543
48,24,3,1,24,24,1,3,6,3,12,3,2,3,0,0|10.0071
48,48,3,1,24,3,1,6,6,3,12,0,2,0,0,1|9.1710
48,48,3,1,24,6,1,6,6,0,12,1,2,0,0,2|9.2560
96,3,1,0,24,6,1,6,6,12,1,2,2,0,2,0|6.9120
96,3,1,6,24,6,1,2,6,12,3,0,2,0,0,3|6.9491
96,3,1,6,24,6,1,2,6,12,3,3,2,0,0,1|7.1773
96,3,1,6,24,6,3,2,6,12,6,0,2,0,1,0|7.1166
96,3,1,6,24,6,3,2,6,12,6,0,2,1,0,3|7.3069
96,3,3,0,24,6,1,6,6,12,3,2,2,1,6,3|7.5484
96,6,0,0,24,6,1,6,6,12,3,2,3,6,3,6|7.3510
96,12,1,6,24,12,3,2,6,6,3,6,3,1,0,0|7.3648
96,24,1,6,24,6,6,2,6,1,0,6,3,0,3,0|7.0597
96,24,1,6,24,6,6,2,6,1,3,6,3,0,2,0|7.3157
96,24,1,6,24,12,2,3,6,1,3,6,3,2,0,0|7.2830
96,24,3,6,24,12,3,3,6,3,0,6,3,0,2,0|7.1414
96,24,6,6,24,12,0,3,6,3,2,6,3,0,1,0|7.2210
96,24,6,6,24,12,2,3,6,3,1,6,3,0,3,0|7.4818
96,24,6,6,24,12,3,3,6,3,3,6,3,0,2,0|7.5238
96,24,6,6,24,12,6,3,6,3,2,6,3,0,1,0|7.6371
96,24,12,6,24,12,2,3,6,3,1,6,3,0,1,0|7.7116
96,24,12,6,24,12,3,3,6,3,1,6,3,0,3,0|7.7574
96,24,12,6,24,12,6,2,6,3,1,6,3,3,0,0|7.8744
96,24,12,6,24,12,6,2,6,6,1,6,3,2,0,0|7.9928
96,24,12,6,24,12,6,2,12,1,6,1,3,2,0,0|8.0224
96,24,12,6,24,12,12,3,12,3,0,0,3,2,0,0|7.7233
96,24,24,6,24,12,0,3,12,3,0,0,3,2,3,0|7.5456
